ct_path,lt_path,rt_path,steer,throttle,brake,speed,high_level_control
IMG/center_2019_05_16_14_23_07_931.jpg,IMG/left_2019_05_16_14_23_07_931.jpg,IMG/right_2019_05_16_14_23_07_931.jpg,0.0,0.0,0,4.6601929999999994e-07,0
IMG/center_2019_05_16_14_23_08_028.jpg,IMG/left_2019_05_16_14_23_08_028.jpg,IMG/right_2019_05_16_14_23_08_028.jpg,0.0,0.0,0,9.319011e-07,0
IMG/center_2019_05_16_14_23_08_124.jpg,IMG/left_2019_05_16_14_23_08_124.jpg,IMG/right_2019_05_16_14_23_08_124.jpg,0.0,0.0,0,2.332364e-07,0
IMG/center_2019_05_16_14_23_08_218.jpg,IMG/left_2019_05_16_14_23_08_218.jpg,IMG/right_2019_05_16_14_23_08_218.jpg,0.0,0.0,0,7.658829e-07,0
IMG/center_2019_05_16_14_23_08_315.jpg,IMG/left_2019_05_16_14_23_08_315.jpg,IMG/right_2019_05_16_14_23_08_315.jpg,0.0,0.0,0,4.990371e-07,0
IMG/center_2019_05_16_14_23_08_411.jpg,IMG/left_2019_05_16_14_23_08_411.jpg,IMG/right_2019_05_16_14_23_08_411.jpg,0.0,0.0,0,1.6652539999999999e-07,0
IMG/center_2019_05_16_14_23_08_507.jpg,IMG/left_2019_05_16_14_23_08_507.jpg,IMG/right_2019_05_16_14_23_08_507.jpg,0.0,0.0,0,3.446221e-08,0
IMG/center_2019_05_16_14_23_08_604.jpg,IMG/left_2019_05_16_14_23_08_604.jpg,IMG/right_2019_05_16_14_23_08_604.jpg,0.0,0.0,0,6.713721000000001e-08,0
IMG/center_2019_05_16_14_23_08_702.jpg,IMG/left_2019_05_16_14_23_08_702.jpg,IMG/right_2019_05_16_14_23_08_702.jpg,0.0,0.0,0,9.421101000000001e-09,0
IMG/center_2019_05_16_14_23_08_798.jpg,IMG/left_2019_05_16_14_23_08_798.jpg,IMG/right_2019_05_16_14_23_08_798.jpg,0.0,0.0,0,6.733007000000001e-08,0
IMG/center_2019_05_16_14_23_08_896.jpg,IMG/left_2019_05_16_14_23_08_896.jpg,IMG/right_2019_05_16_14_23_08_896.jpg,0.0,0.0,0,9.65435e-07,0
IMG/center_2019_05_16_14_23_08_992.jpg,IMG/left_2019_05_16_14_23_08_992.jpg,IMG/right_2019_05_16_14_23_08_992.jpg,0.0,0.0,0,1.34602e-07,0
IMG/center_2019_05_16_14_23_09_089.jpg,IMG/left_2019_05_16_14_23_09_089.jpg,IMG/right_2019_05_16_14_23_09_089.jpg,0.0,0.09749401,0,0.06837595,0
IMG/center_2019_05_16_14_23_09_190.jpg,IMG/left_2019_05_16_14_23_09_190.jpg,IMG/right_2019_05_16_14_23_09_190.jpg,0.0,0.38634,0,0.3260344,0
IMG/center_2019_05_16_14_23_09_286.jpg,IMG/left_2019_05_16_14_23_09_286.jpg,IMG/right_2019_05_16_14_23_09_286.jpg,0.0,0.672948,0,0.93779,0
